Architecture    Offer                                      Publisher    Sku                                  Urn                                                                                                   Version
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202604150                         22.04.202604150
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202605030                         22.04.202605030
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202605070                         22.04.202605070
x64             0001-com-ubuntu-minimal-focal              Canonical    minimal-20_04-lts                    Canonical:0001-com-ubuntu-minimal-focal:minimal-20_04-lts:20.04.202505200                             20.04.202505200
x64             0001-com-ubuntu-minimal-focal              Canonical    minimal-20_04-lts-gen2               Canonical:0001-com-ubuntu-minimal-focal:minimal-20_04-lts-gen2:20.04.202505200                        20.04.202505200
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202503180                 20.04.202503180
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202503210                 20.04.202503210
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202503250                 20.04.202503250
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202503270                 20.04.202503270
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202504010                 20.04.202504010
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202504250                 20.04.202504250
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202505070                 20.04.202505070
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202505160                 20.04.202505160
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202505200                 20.04.202505200
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts              Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202505230                 20.04.202505230
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202503180            20.04.202503180
x64             0001-com-ubuntu-minimal-focal-daily        Canonical    minimal-20_04-daily-lts-gen2         Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202503210            20.04.202503210
